origem_linha,particao
19220,treino
10221,treino
22615,treino
11295,treino
8983,treino
10938,treino
6751,treino
14540,treino
13280,treino
11969,treino
15528,treino
17209,treino
31430,treino
2181,treino
1789,treino
6108,treino
20995,treino
14411,treino
23266,treino
16328,treino
19585,treino
6852,treino
24266,treino
18195,treino
31264,treino
31453,treino
23102,treino
32020,treino
27298,treino
20616,treino
11305,treino
2485,treino
12332,treino
15301,treino
20475,treino
129,treino
8763,treino
12620,treino
5853,treino
17941,treino
15230,treino
27474,treino
30296,treino
20007,treino
12281,treino
27711,treino
400,treino
22622,treino
5794,treino
13223,treino
17877,treino
174,treino
8660,treino
20727,treino
11807,treino
16224,treino
28608,treino
27728,treino
30519,treino
31497,treino
31597,treino
28127,treino
24455,treino
1479,treino
14819,treino
12090,treino
11350,treino
16249,treino
31059,treino
21636,treino
14751,treino
15612,treino
10254,treino
26847,treino
16103,treino
13340,treino
8750,treino
11424,treino
22971,treino
29088,treino
3106,treino
10399,treino
19840,treino
27514,treino
30916,treino
23371,treino
22538,treino
31531,treino
15891,treino
24591,treino
14594,treino
2137,treino
28489,treino
1859,treino
20477,treino
193,treino
21040,treino
12458,treino
26366,treino
2434,treino
26481,treino
1715,treino
20409,treino
22901,treino
21897,treino
12575,treino
23062,treino
14815,treino
977,treino
7192,treino
7909,treino
31474,treino
24095,treino
22384,treino
2091,treino
10340,treino
13320,treino
14698,treino
16716,treino
73,treino
2281,treino
12095,treino
27693,treino
14186,treino
16987,treino
19327,treino
30206,treino
30199,treino
14421,treino
12246,treino
14887,treino
17163,treino
15706,treino
28439,treino
31,treino
32338,treino
27550,treino
22452,treino
4913,treino
3206,treino
12754,treino
23372,treino
22019,treino
18125,treino
28190,treino
7320,treino
25351,treino
5149,treino
27098,treino
16367,treino
23417,treino
16228,treino
25133,treino
11717,treino
6640,treino
4850,treino
25731,treino
5068,treino
9511,treino
12373,treino
11201,treino
28228,treino
9953,treino
811,treino
1279,treino
27920,treino
18121,treino
23616,treino
2970,treino
16237,treino
4559,treino
11636,treino
2720,treino
32374,treino
11445,treino
1188,treino
28634,treino
14534,treino
19870,treino
15002,treino
12262,treino
1212,treino
29050,treino
12421,treino
14189,treino
12651,treino
25654,treino
25532,treino
21388,treino
16009,treino
6661,treino
19508,treino
14030,treino
23508,treino
28839,treino
30910,treino
29451,treino
9070,treino
12572,treino
12947,treino
32006,treino
15118,treino
15905,treino
32336,treino
25495,treino
28082,treino
11433,treino
1750,treino
27284,treino
6939,treino
21086,treino
23475,treino
10998,treino
32170,treino
22481,treino
5510,treino
17944,treino
1242,treino
23274,treino
24849,treino
8990,treino
24265,treino
4532,treino
2630,treino
8451,treino
566,treino
21727,treino
10966,treino
26287,treino
31965,treino
29223,treino
18739,treino
10972,treino
16430,treino
23306,treino
25658,treino
12934,treino
18032,treino
16211,treino
26647,treino
20044,treino
27907,treino
28548,treino
6421,treino
8845,treino
1701,treino
17286,treino
27958,treino
23852,treino
8103,treino
18830,treino
11866,treino
4170,treino
31117,treino
28897,treino
32447,treino
5684,treino
2258,treino
25516,treino
26171,treino
19580,treino
9525,treino
9308,treino
15553,treino
21618,treino
31749,treino
7559,treino
21484,treino
32150,treino
16315,treino
1420,treino
10497,treino
30221,treino
15875,treino
17472,treino
32396,treino
7476,treino
27414,treino
10591,treino
10997,treino
22503,treino
3109,treino
17956,treino
1539,treino
8932,treino
25821,treino
1297,treino
28537,treino
17513,treino
31392,treino
23652,treino
19031,treino
31507,treino
32485,treino
22137,treino
10640,treino
21357,treino
22405,treino
10351,treino
13919,treino
31148,treino
30039,treino
23389,treino
3793,treino
18719,treino
30719,treino
7303,treino
9022,treino
31622,treino
18094,treino
28760,treino
16198,treino
8670,treino
4033,treino
12670,treino
17414,treino
16213,treino
22237,treino
16002,treino
28822,treino
31553,treino
26685,treino
2660,treino
19879,treino
20375,treino
7940,treino
21080,treino
17329,treino
20176,treino
30547,treino
25624,treino
1045,treino
27682,treino
21879,treino
2856,treino
22432,treino
15897,treino
32312,treino
3607,treino
31863,treino
3152,treino
29541,treino
23187,treino
12240,treino
29482,treino
28568,treino
8464,treino
3609,treino
2482,treino
32017,treino
249,treino
2289,treino
26979,treino
3538,treino
20059,treino
12927,treino
2463,treino
11646,treino
984,treino
3572,treino
22272,treino
27341,treino
30084,treino
32236,treino
30407,treino
20405,treino
14329,treino
20621,treino
19190,treino
27515,treino
22541,treino
18588,treino
3424,treino
2971,treino
717,treino
31769,treino
16202,treino
13589,treino
26529,treino
13018,treino
16972,treino
25677,treino
819,treino
8160,treino
24632,treino
29965,treino
10826,treino
5391,treino
16820,treino
31481,treino
21323,treino
3259,treino
17640,treino
28626,treino
12400,treino
23460,treino
21436,treino
22923,treino
10178,treino
14853,treino
28020,treino
16869,treino
7910,treino
32165,treino
16986,treino
21344,treino
5707,treino
11293,treino
20168,treino
12161,treino
29758,treino
14225,treino
12539,treino
17774,treino
3827,treino
17608,treino
30314,treino
29687,treino
25415,treino
2432,treino
12579,treino
27590,treino
12666,treino
19775,treino
16191,treino
16551,treino
28232,treino
22109,treino
7089,treino
14963,treino
23347,treino
28458,treino
23724,treino
2030,treino
27433,treino
1022,treino
9343,treino
29039,treino
23629,treino
18301,treino
10192,treino
25596,treino
20916,treino
31513,treino
16,treino
13960,treino
28860,treino
25496,treino
20577,treino
25455,treino
10655,treino
12325,treino
25157,treino
580,treino
10436,treino
19274,treino
30949,treino
12314,treino
7145,treino
4027,treino
14686,treino
6507,treino
5671,treino
15049,treino
7057,treino
29038,treino
20619,treino
12545,treino
19978,treino
11557,treino
17038,treino
19574,treino
1472,treino
27269,treino
4469,treino
29835,treino
27941,treino
17428,treino
26180,treino
16024,treino
22075,treino
24544,treino
4706,treino
11081,treino
10773,treino
27145,treino
28802,treino
16240,treino
25815,treino
4164,treino
14816,treino
21041,treino
32409,treino
27148,treino
11037,treino
9013,treino
26402,treino
23558,treino
7529,treino
14719,treino
20180,treino
9412,treino
8300,treino
27438,treino
28872,treino
3806,treino
5301,treino
29405,treino
17072,treino
26794,treino
28039,treino
4809,treino
16665,treino
1330,treino
21898,treino
5355,treino
11429,treino
2922,treino
9723,treino
294,treino
26292,treino
10062,treino
32479,treino
7367,treino
3562,treino
3741,treino
1236,treino
1038,treino
12904,treino
29674,treino
9379,treino
120,treino
12220,treino
24890,treino
30602,treino
3625,treino
22466,treino
7912,treino
20865,treino
8361,treino
19604,treino
18008,treino
32192,treino
6103,treino
1219,treino
7906,treino
8854,treino
18196,treino
27322,treino
24946,treino
18302,treino
3754,treino
8979,treino
22896,treino
4475,treino
21649,treino
840,treino
7787,treino
18782,treino
5052,treino
15925,treino
15197,treino
4773,treino
17952,treino
17196,treino
19500,treino
11417,treino
12816,treino
16638,treino
25417,treino
24624,treino
10398,treino
11668,treino
10339,treino
14506,treino
4580,treino
29255,treino
14107,treino
14122,treino
2529,treino
1857,treino
8716,treino
6288,treino
2108,treino
11694,treino
20073,treino
2972,treino
19467,treino
19623,treino
9131,treino
16714,treino
2889,treino
30805,treino
13786,treino
29410,treino
8179,treino
515,treino
8966,treino
9117,treino
31927,treino
13438,treino
2622,treino
25310,treino
23238,treino
30339,treino
16180,treino
30133,treino
5430,treino
11856,treino
8468,treino
2024,treino
14194,treino
28746,treino
5221,treino
10837,treino
16858,treino
19023,treino
12993,treino
7300,treino
18611,treino
4199,treino
24744,treino
18962,treino
29458,treino
21045,treino
16830,treino
4569,treino
21540,treino
21745,treino
24993,treino
23299,treino
9265,treino
3050,treino
15005,treino
610,treino
23427,treino
13313,treino
9729,treino
24710,treino
14001,treino
5669,treino
29510,treino
20077,treino
1952,treino
13013,treino
31385,treino
14290,treino
1700,treino
13384,treino
2082,treino
29672,treino
2644,treino
12663,treino
27769,treino
9393,treino
30475,treino
10544,treino
17780,treino
23777,treino
806,treino
22939,treino
13746,treino
21452,treino
17394,treino
3602,treino
5001,treino
1513,treino
4158,treino
19570,treino
16788,treino
14299,treino
9169,treino
22242,treino
24100,treino
17544,treino
21555,treino
19727,treino
23258,treino
2122,treino
28681,treino
27185,treino
24403,treino
6047,treino
28450,treino
16139,treino
15589,treino
30152,treino
13287,treino
12563,treino
26981,treino
24532,treino
22111,treino
9847,treino
8476,treino
13629,treino
11396,treino
15749,treino
1055,treino
25147,treino
403,treino
25123,treino
4306,treino
8117,treino
2109,treino
12317,treino
10247,treino
29063,treino
3976,treino
7579,treino
25936,treino
20765,treino
19037,treino
9503,treino
16749,treino
32566,treino
10012,treino
4078,treino
27143,treino
4958,treino
7020,treino
2613,treino
23129,treino
4963,treino
9726,treino
27702,treino
19770,treino
28328,treino
10107,treino
19640,treino
30604,treino
25002,treino
7424,treino
6843,treino
12390,treino
11996,treino
13201,treino
980,treino
15217,treino
7335,treino
9657,treino
26850,treino
25645,treino
31169,treino
21886,treino
15854,treino
24980,treino
16234,treino
9109,treino
21703,treino
10779,treino
17021,treino
18791,treino
20301,treino
21788,treino
30795,treino
21581,treino
16464,treino
21290,treino
214,treino
31604,treino
30587,treino
3024,treino
846,treino
26336,treino
27271,treino
21910,treino
26546,treino
5485,treino
16057,treino
29742,treino
24177,treino
20432,treino
7081,treino
15792,treino
24871,treino
28853,treino
11090,treino
12311,treino
18784,treino
17456,treino
20688,treino
7612,treino
6611,treino
20485,treino
23917,treino
4872,treino
10854,treino
3201,treino
2733,treino
11791,treino
7299,treino
31344,treino
1889,treino
30966,treino
27001,treino
14855,treino
15855,treino
15953,treino
28948,treino
366,treino
17997,treino
4327,treino
2435,treino
30568,treino
16344,treino
31134,treino
16662,treino
3063,treino
23557,treino
19642,treino
14165,treino
5058,treino
19908,treino
28275,treino
31338,treino
2603,treino
17565,treino
12291,treino
4059,treino
13862,treino
31415,treino
1462,treino
7666,treino
15241,treino
26856,treino
11948,treino
23349,treino
12356,treino
6134,treino
19354,treino
8771,treino
5486,treino
14143,treino
32245,treino
21917,treino
24104,treino
27481,treino
11892,treino
11026,treino
29571,treino
14940,treino
13022,treino
17811,treino
296,treino
4952,treino
5568,treino
10768,treino
17616,treino
3885,treino
19845,treino
225,treino
7263,treino
27610,treino
26170,treino
8031,treino
17108,treino
31283,treino
8494,treino
28015,treino
9428,treino
31512,treino
26411,treino
10752,treino
23804,treino
3729,treino
27741,treino
30135,treino
4510,treino
9658,treino
11862,treino
32342,treino
26095,treino
27065,treino
3798,treino
1593,treino
27392,treino
26375,treino
14898,treino
21007,treino
8394,treino
31028,treino
23305,treino
4498,treino
30284,treino
25993,treino
32113,treino
13829,treino
25428,treino
23206,treino
14491,treino
22888,treino
11404,treino
16102,treino
15565,treino
29361,treino
5076,treino
28496,treino
4767,treino
2764,treino
19937,treino
4557,treino
2357,treino
3760,treino
583,treino
983,treino
17728,treino
12364,treino
7128,treino
21021,treino
1769,treino
26552,treino
14854,treino
15814,treino
779,treino
9789,treino
13307,treino
5246,treino
29677,treino
31371,treino
15585,treino
28426,treino
8229,treino
389,treino
12930,treino
23397,treino
9804,treino
6646,treino
5902,treino
27367,treino
4584,treino
15065,treino
25097,treino
30591,treino
14675,treino
4016,treino
23534,treino
10930,treino
11778,treino
12388,treino
12258,treino
10135,treino
21514,treino
20071,treino
22864,treino
18641,treino
16109,treino
2019,treino
17050,treino
22641,treino
27380,treino
2462,treino
25557,treino
27655,treino
8220,treino
9145,treino
1564,treino
27627,treino
4075,treino
31751,treino
11217,treino
22815,treino
21131,treino
18912,treino
369,treino
5497,treino
21546,treino
4139,treino
26252,treino
14212,treino
5050,treino
7099,treino
8799,treino
17911,treino
4930,treino
14868,treino
780,treino
17200,treino
7507,treino
27384,treino
10555,treino
13238,treino
25363,treino
7252,treino
31791,treino
28320,treino
18448,treino
23004,treino
643,treino
11754,treino
3617,treino
18598,treino
6075,treino
31583,treino
511,treino
15141,treino
12075,treino
23826,treino
30833,treino
19104,treino
2046,treino
1838,treino
6716,treino
25665,treino
17523,treino
10130,treino
15048,treino
19577,treino
30311,treino
18613,treino
20460,treino
8959,treino
25046,treino
23746,treino
24821,treino
19428,treino
4404,treino
12885,treino
15861,treino
10851,treino
16916,treino
24229,treino
12057,treino
18176,treino
21600,treino
2583,treino
10335,treino
7620,treino
3895,treino
23939,treino
1115,treino
10302,treino
12329,treino
4511,treino
13126,treino
26446,treino
19939,treino
30111,treino
31121,treino
18664,treino
25618,treino
28997,treino
27592,treino
25034,treino
12546,treino
3594,treino
1021,treino
18545,treino
15763,treino
4865,treino
3546,treino
21676,treino
13215,treino
8321,treino
23484,treino
19810,treino
5506,treino
7942,treino
28446,treino
6968,treino
6662,treino
20828,treino
8623,treino
13356,treino
17548,treino
4828,treino
21,treino
2927,treino
30694,treino
16918,treino
15274,treino
26376,treino
8916,treino
30777,treino
25761,treino
7632,treino
20987,treino
428,treino
21114,treino
5041,treino
12144,treino
17963,treino
2453,treino
12618,treino
27628,treino
9151,treino
11134,treino
17291,treino
27551,treino
9548,treino
10949,treino
23434,treino
25755,treino
10317,treino
2437,treino
15347,treino
23803,treino
6110,treino
32359,treino
24495,treino
8766,treino
10677,treino
7209,treino
3505,treino
28200,treino
4944,treino
25765,treino
19507,treino
21977,treino
19763,treino
15324,treino
3434,treino
10250,treino
12755,treino
15056,treino
10976,treino
23075,treino
11250,treino
8773,treino
17910,treino
11974,treino
26516,treino
23413,treino
31786,treino
29217,treino
8340,treino
13428,treino
19827,treino
341,treino
1454,treino
9365,treino
21919,treino
6769,treino
13078,treino
6046,treino
142,treino
15129,treino
5203,treino
7956,treino
10367,treino
31997,treino
12284,treino
9147,treino
5851,treino
6700,treino
8362,treino
22350,treino
18311,treino
24580,treino
18023,treino
21715,treino
13381,treino
7305,treino
1455,treino
4503,treino
9750,treino
11200,treino
16184,treino
25155,treino
29195,treino
16968,treino
7939,treino
16326,treino
24057,treino
2007,treino
22336,treino
25492,treino
16276,treino
18148,treino
23815,treino
5901,treino
20960,treino
11531,treino
10996,treino
10718,treino
15001,treino
9851,treino
10498,treino
18887,treino
25837,treino
2688,treino
9196,treino
17817,treino
24452,treino
28700,treino
26654,treino
16632,treino
25688,treino
18001,treino
22369,treino
21693,treino
25526,treino
13731,treino
10067,treino
31948,treino
25366,treino
25900,treino
2044,treino
8836,treino
11418,treino
24004,treino
8093,treino
16439,treino
29408,treino
31315,treino
2199,treino
6918,treino
23683,treino
13888,treino
14126,treino
14184,treino
30344,treino
14812,treino
7267,treino
29231,treino
3025,treino
21759,treino
7264,treino
6586,treino
22940,treino
10215,treino
4269,treino
2799,treino
20955,treino
14258,treino
9297,treino
2158,treino
15044,treino
29362,treino
9457,treino
16386,treino
9111,treino
17042,treino
22693,treino
14522,treino
24113,treino
12296,treino
9014,treino
31356,treino
20781,treino
26395,treino
826,treino
21170,treino
13757,treino
32021,treino
12053,treino
10724,treino
20917,treino
13449,treino
10978,treino
10714,treino
19360,treino
27774,treino
7206,treino
15239,treino
21944,treino
1827,treino
5950,treino
3354,treino
17710,treino
28032,treino
24258,treino
21999,treino
29600,treino
8472,treino
8751,treino
22636,treino
25833,treino
1182,treino
18804,treino
27205,treino
24983,treino
4184,treino
26205,treino
12723,treino
28407,treino
19541,treino
18712,treino
10648,treino
18045,treino
16173,treino
32341,treino
14440,treino
2214,treino
26783,treino
1800,treino
23278,treino
8026,treino
11373,treino
14740,treino
21974,treino
27012,treino
13959,treino
32540,treino
22998,treino
13557,treino
28424,treino
27908,treino
16693,treino
27660,treino
17175,treino
29638,treino
18524,treino
4094,treino
30763,treino
4755,treino
20054,treino
27299,treino
7516,treino
3997,treino
4055,treino
6734,treino
5858,treino
6874,treino
31841,treino
28557,treino
1525,treino
28102,treino
28085,treino
4182,treino
8096,treino
25209,treino
29517,treino
15499,treino
16068,treino
25785,treino
29328,treino
7756,treino
8492,treino
29658,treino
6773,treino
10407,treino
20394,treino
29034,treino
1752,treino
28429,treino
528,treino
28652,treino
787,treino
19208,treino
19443,treino
2298,treino
21146,treino
22677,treino
6526,treino
3200,treino
28766,treino
3901,treino
22286,treino
19222,treino
27182,treino
32469,treino
7073,treino
17940,treino
31541,treino
14663,treino
14177,treino
5445,treino
3101,treino
10790,treino
13871,treino
30235,treino
32394,treino
3563,treino
25925,treino
10579,treino
7998,treino
27743,treino
31856,treino
19651,treino
8505,treino
15076,treino
3204,treino
6616,treino
2940,treino
1223,treino
25073,treino
30905,treino
29576,treino
9416,treino
26864,treino
3761,treino
14267,treino
11264,treino
4868,treino
19665,treino
32330,treino
18709,treino
5762,treino
1298,treino
1159,treino
7459,treino
21647,treino
32305,treino
1232,treino
22295,treino
29500,treino
24367,treino
19814,treino
8294,treino
11790,treino
19481,treino
5813,treino
8940,treino
20123,treino
7324,treino
23914,treino
7422,treino
11868,treino
12705,treino
10913,treino
29870,treino
32389,treino
6921,treino
22014,treino
26486,treino
7425,treino
29340,treino
14833,treino
10170,treino
30224,treino
20871,treino
1037,treino
10457,treino
8563,treino
3516,treino
27997,treino
25820,treino
22656,treino
7993,treino
26182,treino
15805,treino
23831,treino
29462,treino
17522,treino
17781,treino
10440,treino
1449,treino
9100,treino
15473,treino
20194,treino
16097,treino
3974,treino
16118,treino
11097,treino
31449,treino
9409,treino
4900,treino
9967,treino
18027,treino
22813,treino
1585,treino
20627,treino
30921,treino
17899,treino
1946,treino
32441,treino
11568,treino
27586,treino
13003,treino
22093,treino
23157,treino
30518,treino
26052,treino
186,treino
10776,treino
121,treino
15310,treino
26323,treino
30506,treino
22488,treino
6333,treino
24908,treino
5121,treino
9388,treino
21842,treino
21008,treino
31291,treino
21656,treino
16603,treino
12612,treino
13886,treino
16520,treino
31143,treino
14301,treino
24549,treino
16639,treino
15697,treino
2465,treino
31595,treino
31172,treino
15043,treino
19259,treino
5339,treino
11552,treino
5285,treino
2513,treino
30789,treino
25464,treino
10430,treino
371,treino
5232,treino
4947,treino
14533,treino
6396,treino
24094,treino
7213,treino
24771,treino
17538,treino
13715,treino
727,treino
29349,treino
10209,treino
25,treino
27632,treino
8245,treino
10158,treino
4494,treino
30667,treino
7182,treino
4854,treino
1935,treino
29357,treino
8684,treino
24251,treino
25269,treino
21082,treino
16973,treino
10514,treino
21465,treino
17906,treino
17976,treino
25493,treino
10551,treino
27745,treino
12733,treino
26153,treino
20422,treino
2176,treino
23366,treino
3129,treino
10465,treino
21192,treino
8608,treino
9877,treino
15498,treino
9938,treino
11140,treino
8876,treino
13869,treino
86,treino
31326,treino
20566,treino
21091,treino
30751,treino
27815,treino
5359,treino
20271,treino
27800,treino
3231,treino
13727,treino
14714,treino
10827,treino
6194,treino
6853,treino
9864,treino
22430,treino
420,treino
4231,treino
29902,treino
1967,treino
725,treino
7368,treino
14929,treino
24168,treino
6316,treino
4347,treino
20063,treino
15947,treino
5325,treino
20260,treino
18092,treino
23083,treino
29776,treino
26708,treino
7472,treino
22588,treino
12757,treino
13109,treino
336,treino
1542,treino
22349,treino
8401,treino
11363,treino
21779,treino
12490,treino
15593,treino
9483,treino
4725,treino
8463,treino
10417,treino
17341,treino
31110,treino
13144,treino
23135,treino
26431,treino
12243,treino
30175,treino
12397,treino
19310,treino
21913,treino
6074,treino
10793,treino
7964,treino
19436,treino
28046,treino
165,treino
6519,treino
4917,treino
1801,treino
10235,treino
28199,treino
29558,treino
22635,treino
31690,treino
14603,treino
27795,treino
3706,treino
17125,treino
2172,treino
14809,treino
14665,treino
20807,treino
4000,treino
29876,treino
25747,treino
5137,treino
6221,treino
17979,treino
25805,treino
24290,treino
26432,treino
27039,treino
18506,treino
14632,treino
3652,treino
23907,treino
3039,treino
30636,treino
17733,treino
2877,treino
18030,treino
6796,treino
14608,treino
7066,treino
4539,treino
7552,treino
16287,treino
7505,treino
10971,treino
22537,treino
1091,treino
11904,treino
3548,treino
27522,treino
18300,treino
13790,treino
15657,treino
22423,treino
4712,treino
8919,treino
6902,treino
15195,treino
12710,treino
14574,treino
25233,treino
29657,treino
12303,treino
21570,treino
2331,treino
5975,treino
28783,treino
16875,treino
22976,treino
7105,treino
16487,treino
650,treino
5108,treino
20976,treino
18288,treino
9251,treino
11198,treino
31611,treino
4082,treino
30452,treino
10582,treino
3883,treino
23623,treino
20645,treino
2888,treino
29644,treino
21539,treino
8207,treino
24441,treino
2662,treino
8635,treino
23744,treino
839,treino
1558,treino
24506,treino
29766,treino
23848,treino
15874,treino
5820,treino
9230,treino
12709,treino
17359,treino
8006,treino
18652,treino
1489,treino
21072,treino
1209,treino
27257,treino
1052,treino
19111,treino
10346,treino
13752,treino
7975,treino
13947,treino
32056,treino
5930,treino
29083,treino
18389,treino
8625,treino
3029,treino
4197,treino
16101,treino
1632,treino
29991,treino
23643,treino
15292,treino
10182,treino
1498,treino
15508,treino
22419,treino
13806,treino
8188,treino
11514,treino
27258,treino
13844,treino
1017,treino
3420,treino
8328,treino
4908,treino
9238,treino
25023,treino
11516,treino
18781,treino
17553,treino
12052,treino
23262,treino
5304,treino
22346,treino
19695,treino
7392,treino
25543,treino
1227,treino
13177,treino
17648,treino
990,treino
21105,treino
15287,treino
26801,treino
14369,treino
20941,treino
21952,treino
24620,treino
2053,treino
2103,treino
603,treino
27377,treino
28934,treino
27387,treino
17951,treino
31926,treino
26220,treino
24901,treino
26464,treino
16043,treino
11664,treino
4447,treino
17645,treino
31084,treino
22042,treino
14718,treino
677,treino
11865,treino
2969,treino
13649,treino
32298,treino
31272,treino
20965,treino
6817,treino
15725,treino
30628,treino
15738,treino
22287,treino
21623,treino
1422,treino
2147,treino
25570,treino
18304,treino
24853,treino
19705,treino
12168,treino
28456,treino
2937,treino
17964,treino
4894,treino
2443,treino
8746,treino
22779,treino
925,treino
23469,treino
20120,treino
26248,treino
6962,treino
25451,treino
17124,treino
7496,treino
9382,treino
10411,treino
32253,treino
26574,treino
4757,treino
28847,treino
3819,treino
20634,treino
25895,treino
9250,treino
24723,treino
26589,treino
19646,treino
13870,treino
4660,treino
25640,treino
15571,treino
20011,treino
21169,treino
931,treino
13660,treino
26037,treino
28936,treino
8827,treino
11142,treino
15622,treino
21301,treino
10112,treino
31329,treino
28018,treino
16745,treino
18039,treino
15537,treino
28473,treino
25187,treino
12856,treino
9692,treino
5884,treino
9628,treino
27877,treino
28392,treino
26468,treino
18988,treino
8231,treino
31732,treino
27511,treino
16646,treino
27099,treino
3156,treino
22228,treino
15458,treino
11643,treino
29342,treino
15359,treino
24535,treino
17216,treino
27412,treino
22649,treino
16210,treino
13409,treino
23168,treino
21787,treino
6505,treino
24410,treino
23723,treino
21183,treino
25914,treino
19121,treino
13815,treino
5625,treino
10219,treino
8331,treino
3173,treino
3705,treino
17169,treino
8237,treino
3734,treino
28771,treino
3472,treino
10433,treino
21156,treino
13943,treino
11087,treino
23456,treino
9047,treino
10570,treino
26209,treino
31111,treino
27722,treino
11801,treino
28759,treino
25089,treino
23795,treino
14861,treino
25586,treino
17570,treino
10587,treino
3612,treino
15204,treino
2755,treino
141,treino
30662,treino
11728,treino
32354,treino
11426,treino
5606,treino
11771,treino
4008,treino
27029,treino
10322,treino
32148,treino
25343,treino
16706,treino
22792,treino
9452,treino
10037,treino
4816,treino
28961,treino
27659,treino
29743,treino
18908,treino
24279,treino
1283,treino
12338,treino
30749,treino
5347,treino
28337,treino
18075,treino
25190,treino
18276,treino
5022,treino
22026,treino
28642,treino
16985,treino
23506,treino
11879,treino
13635,treino
26995,treino
6550,treino
32459,treino
27003,treino
28720,treino
17754,treino
2740,treino
11916,treino
16834,treino
7337,treino
13541,treino
31517,treino
6033,treino
27897,treino
20023,treino
19280,treino
23401,treino
21421,treino
27868,treino
26612,treino
6467,treino
1829,treino
16746,treino
21458,treino
29493,treino
28198,treino
18862,treino
14071,treino
3193,treino
17914,treino
13553,treino
22740,treino
23355,treino
8842,treino
7064,treino
21796,treino
2715,treino
6653,treino
16527,treino
31027,treino
25017,treino
12840,treino
31446,treino
26777,treino
1739,treino
26806,treino
5841,treino
1200,treino
26563,treino
4686,treino
12791,treino
15846,treino
14235,treino
11219,treino
15125,treino
26060,treino
23285,treino
21145,treino
22344,treino
14951,treino
14615,treino
17084,treino
27179,treino
11553,treino
15931,treino
4544,treino
28598,treino
22375,treino
23841,treino
24219,treino
8370,treino
912,treino
28031,treino
18218,treino
28122,treino
6600,treino
9024,treino
29520,treino
1728,treino
24508,treino
31783,treino
20510,treino
30345,treino
4289,treino
12975,treino
11589,treino
13079,treino
12148,treino
18741,treino
28058,treino
24924,treino
8541,treino
23905,treino
1555,treino
23903,treino
17928,treino
8844,treino
18974,treino
869,treino
12988,treino
29078,treino
18107,treino
19491,treino
31712,treino
915,treino
18214,treino
3215,treino
31672,treino
6381,treino
1751,treino
28716,treino
18762,treino
13721,treino
8577,treino
2698,treino
18368,treino
25888,treino
22283,treino
12740,treino
10203,treino
20436,treino
9136,treino
6759,treino
27611,treino
17579,treino
18042,treino
32061,treino
29747,treino
23302,treino
8781,treino
4791,treino
27899,treino
24058,treino
29070,treino
11882,treino
2844,treino
14113,treino
25963,treino
9300,treino
11119,treino
27383,treino
29044,treino
17499,treino
21367,treino
12854,treino
21055,treino
19679,treino
10743,treino
9315,treino
25068,treino
5609,treino
21062,treino
6370,treino
9010,treino
7822,treino
29337,treino
13555,treino
31657,treino
14452,treino
11266,treino
9535,treino
9934,treino
12495,treino
13885,treino
24727,treino
20224,treino
17591,treino
14252,treino
26619,treino
12687,treino
775,treino
3174,treino
23895,treino
13279,treino
321,treino
29505,treino
15863,treino
13297,treino
16407,treino
25442,treino
17886,treino
28583,treino
27187,treino
24275,treino
20229,treino
24621,treino
